,title,department,location,employment_type,review_star,review_number,salary_value,salary_unit,state,description,annual_salary
707,system integration specialist,ge healthcare,richmond vic 3121,,4.0,,,,vic,"role summary: co-ordinates & executes all tasks related to data exchange interfaces in pacs, his, ris, cis or other gehc-it systems in conjunction with customers, 3rd party vendors, project managers, application specialists & service team. responsible for specifying, implementing & testing of integration of assigned projects & their documentation giving visibility of its progress to the project stakeholders. essential responsibilities: functional skills: understand, analyze and optimize clinical workflows and dataflows in healthcare environment support the remote online center by use of existing knowledge bases, give valuable input to support central cases and consistently solve support central cases at anz level understand, analyze and design it networks and implement / troubleshoot http and web service interfaces understand, analyze and design databases within a healthcare environment understand, analyze and troubleshoot communication standards. provide communication standard knowledge shares and training courses to colleagues and hold the status of a “go to person”, key reference for consulting. understand, analyze and troubleshoot sql statements and stored procedures. understand, analyze and troubleshoot cloverleaf or related product soft- and general business skills: communications / documentation excellent verbal, written, and communication skills strong documentation skills required pre sales activities provide value to the team in preparation and execution of presales plans. strong involvement with tender / eoi response development. ability to present system integration concepts to customer. customer focus & orientation: demonstrate customer first attitude and take ownership of customer complaints. build strong customer relationships. measure processes and performance through customer’s eyes. training, coaching and mentoring: provide training across regions, coach peers using existing tools and processes. speak in a way that captures and holds the attention of a person vis-à-vis. mentor capabilities. financial understanding: financial understanding key financial metrics, cost definition and margins. support business decisions. business acumen: familiar with all ge hcit product lines. can articulate the hcit business vision and key business objectives. team working & management: manage group interactions & team working. demonstrate a high level of interpersonal skills. lead by example and demonstrate positive, productive and inspiring behaviors. aim for timely and measurable results. communication / presentation: send clear written and verbal messages. choose the right communication media according to the situation and audience. win attention of the audience. communicate complex subjects in precise simple messages. flexibility: go beyond own duties for customer satisfaction. adapt behavior and work methods in response to new information, changed conditions, or unexpected obstacles. organization & planning: establish and use internal network. prioritize and drive results to ensure successful execution of commitments. timely execution of tasks. provide status update to all relevant parties. demonstrate effective time management. tact & diplomacy: communicate in a professional, respectful and sensitive way. makes colleagues and customers feel understood and appreciated. respond to difficult, stressful or sensitive interpersonal situations in ways that reduce or minimize potential conflict. consider all ideas in a constructive and effective way. analytical skills: anticipate and meet customer needs. identify quickly potential risks and problem factors. consider and evaluate alternatives and determine outcome in a constructive way it mindset: excellent knowledge of healthcare it, it products and it infrastructure. qualifications/requirements: • education to bachelor degree level or the equivalent of four years of information technology system integration experience. experience in dicom, hl7, microsoft slq & xds strong customer focus well-developed listening, influencing, interpersonal and networking skills to drive collaborative culture at all levels. strong written & presentation skills desired characteristics: • knowledge of cloverleaf integration engine knowledge of ge healthcare and the products and services offered. experience in healthcare. about us: ge (nyse: ge) drives the world forward by tackling its biggest challenges. by combining world-class engineering with software and analytics, ge helps the world work more efficiently, reliably, and safely. ge people are global, diverse and dedicated, operating with the highest integrity and passion to fulfill ge’s mission and deliver for our customers. www.ge.com additional locations: australia;sydney - parramatta office;",
708,project officer,victorian government,melbourne vic,,3.5,,,,vic,"reference: vg/det/vsba/210830 exciting opportunities exist for those looking to make a difference to schools and the broader department. the asset management branch supports the effective management of school assets under the shared responsibility model. the asset management branch seeks to ensure that all responsible parties are equipped with the information, tools and capability to effectively manage school assets, as well as implementing asset management reform projects that will enhance the asset management system under which we operate. help us make a difference and be part of real and positive change. the project officer will support the asset management branch to deliver its bold forward agenda. key responsibilities of this role include: coordinate and manage responses to stakeholder enquiries develop communications collateral and supporting resources. including policy documents, fact sheets and faqs respond to requests for. information from the minister\'s office and executive team of the authority, including the development of briefings, correspondence and parliamentary collateral promote and maintain strong relationships with key internal and external stakeholders, including regional offices and schools undertake data analysis and evaluation of programs and projects identify and leverage opportunities to promote better and more systematic business processes within the branch provide administrative support for. programs and projects support the branch in other ways as required. for. more details regarding this position please see attached position descriptions. department of education and training is committed to diversity. the department places considerable effort and resources into responding to the needs of staff with a disability. people from disadvantaged groups are encouraged to apply for. this position. if you require assistance, with the recruitment process, have accessibility or. adjustment requirements, please communicate with the contact person listed on this job advertisement or. contact the people division via email: vps.hr.services@edumail.vic.gov.au information about the department of education and training\'s operations and employment conditions can be obtained from the following websites: www.education.vic.gov.au and http://www.education.vic.gov.au/hrweb/pages/default.aspx. applications close 2 september 2019  favourite job print share 80 jobs are currently listed for department of education and training job type: full time / 36 months job classification: vpsg4 contact: major.andrew.a@edumail.vic.gov.au job attachments: 11291 - project officer position description.doc",
709,roster coordination officer,nsw health pathology,new lambton nsw,,3.8,93.0,63980.5,year,nsw,"employment type: temporary full time position classification: administration officer level 4 remuneration: $63,219.03 - $64,742.13 hours per week: 38 requisition id: req123572 location: john hunter hospital where you\'ll be working being part of nsw health pathology means you’re helping create better health and justice systems every day. we operate more than 60 laboratories and around 200 collection centres across nsw and conduct over 60 million tests per annum. our network of pathologists are supported by scientists, technicians and support staff who quickly and accurately assess samples so clinical teams can make the best possible treatment decisions for patients. our forensic & analytical science service provides independent, objective analysis to the nsw criminal and coronial justice systems. what you\'ll be doing responsible for participating in a diverse range of rostering functions for the delivery of rostering and payroll across nsw health pathology (nswhp). provide a high level of customer support in maintaining accurate rostering practices across a statewide organisation. ability to establish strong working relationships with staff at all levels of the organisation and external agencies and stakeholders. proven proficiency in the use of a computerised rostering system together with human resource payroll systems experience, and advanced skills in microsoft office applications in a multi professional environment. well developed communication skills with a focused and responsive approach to managing rostering system user support and payroll enquiries. demonstrated experience in large volumes of data extraction and auditing in a rostering system, with a high level of accuracy in data management. proven high level organisational skills including the ability to effectively prioritise workload, meet strict deadlines, adapt to changing priorities and problem solving. demonstrated capacity to work independently and as part of a team in a high pressure, high volume work environment with sound conflict resolution skills. experience as an active team member with a capacity to be flexible, motivated and participate in a rostering office team. understanding and ability to interpret relevant policies, awards and legislation relating to rostering system pay related matters and enquiries and the ability to scrutinise information and make considered decisions based on the information available. an eligibility list will be created for future temporary and casual vacancies. applicants may be required to undergo a functional assessment prior to appointment. need more information?  1)  2) find out more about applying for this position for role related queries or questions contact nicole ticehurst on nicole.ticehurst@health.nsw.gov.au applications close: 26 august 2019",63980.5
710,desktop support engineer,,melbourne vic,,,,42500.0,year,vic,"job summarythis position assists staff with technical support of desktop computers, applications, and related technology. support includes specification, installation, and testing of computer systems and peripherals within established standards and guidelines. activities require interaction with application software and operating systems to diagnose and resolve unique, non-recurring problems.employee will provide(a) high-level analysis and technical support for customers and their networked computers and peripherals.(b) interface with multiple levels of end users, management, vips and local technical staff.main responsibilities include:perform “hands and eyes support on in‐scope locations at manned sites (dedicated) during supported hours, at direction of off‐site staff ( “smart hands and feet” ) including: o execute instructions as provided and directed o reset/power cycle of equipment as requested o assist in replacing cables o assist in managing devices unreachable from the network o verify relevant information regarding target impacted asset (serial #, type…) o primary checks points regarding ethernet traffic using led signal, electric power up & o align, server panel error o share with client any relevant information that might be available (recent power outage in local data room that could assist in the rca) o reasonably assist external it suppliers (e.g. hardware maintenance supplier, network connected printer or multi‐function printer supplier, telco provider) to perform onsite work where required at manned sites (dedicated) o backup tape rotation, media retention and externalization at manned sites (dedicated) where instructed by client.the supplier is not responsible for tape back‐ up or any loss of data. o plug & play components exchange (e.g. hot swap hard drive change),however while performing hot swap, supplier will not be responsible for data loss or hardware failure.provide l1 support to non‐network attached printers  * provide level 2 on‐site support for in‐scope locations  * provide incident determination and resolution.provide desktop swap‐out, level 2 hardware and system software support (to include but not limited to engineering workstations, laptops, desktops, smart phones/tablets and other devices as mutually agreed and defined ) coordinated through the service desk.  * for desktop and servers, perform upgrades not covered by installation services purchased.  * the supplier will not be held liable for any accidental damages or voiding of warranties.  * provide informal end user training on and laptopsresponsibilities and dutiesperform “hands and eyes support on in‐scope locations at manned sites (dedicated) during supported hours, at direction of off‐site staff ( “smart hands and feet” ) including: o execute instructions as provided and directed o reset/power cycle of equipment as requested o assist in replacing cables o assist in managing devices unreachable from the network o verify relevant information regarding target impacted asset (serial #, type…) o primary checks points regarding ethernet traffic using led signal, electric power up & o align, server panel error o share with client any relevant information that might be available (recent power outage in local data room that could assist in the rca) o reasonably assist external it suppliers (e.g. hardware maintenance supplier, network connected printer or multi‐function printer supplier, telco provider) to perform onsite work where required at manned sites (dedicated) o backup tape rotation, media retention and externalization at manned sites (dedicated) where instructed by client.the supplier is not responsible for tape back‐ up or any loss of data. o plug & play components exchange (e.g. hot swap hard drive change),however while performing hot swap, supplier will not be responsible for data loss or hardware failure.provide l1 support to non‐network attached printers  * provide level 2 on‐site support for in‐scope locations  * provide incident determination and resolution.provide desktop swap‐out, level 2 hardware and system software support (to include but not limited to engineering workstations, laptops, desktops, smart phones/tablets and other devices as mutually agreed and defined ) coordinated through the service desk.  * for desktop and servers, perform upgrades not covered by installation services purchased.  * the supplier will not be held liable for any accidental damages or voiding of warranties.  * provide informal end user training on and laptopsjob type: full-timesalary: $40,000.00 to $45,000.00 /yearexperience:desktop support: 2 years (preferred)work eligibility:no work eligibility is required, i am willing to sponsor the right candidate (e.g. visa) (preferred)",42500.0
711,data classification analyst,,north sydney nsw,contract,,,,,nsw,"location: north sydney job type: contract specialisation: telecommunications reference: (jl)45117 finxl it professional services is an established, innovative australian company, providing technology enabled business solutions and consulting services across a number of industries. these include; government, telecommunications, commercial and finance. we currently have more than 1200 consultants assisting our clients across australia and are continuing to grow at a rapid pace. through the delivery of services and implementation of new systems, processes and technology, we assist our clients to gain competitive advantage and reach new heights. the role our client, a large north sydney based telecommunications organisation, is looking for an experienced data classification analyst .  creating raci matrix perform on demand data classification contribution towards data security standards and audit compliance maintain sharepoint based site and drive performance improvement initiatives carry out data analysis to understand sensitivity of data coordinate/facilitate and operating a data classification process who you are you will have the following skills/experience  background as a technical data analyst ability to create and run reports excellent organisational skills strong stakeholder management and communication skills what’s on offer this is a 6 months+ engagement with a high profile organisation with highly competitive remuneration on offer. what’s next if you would like to be considered, please send your application to julia leung on julial@finxl.com.au",
712,data scientist,,sydney nsw,contract,,,900.0,day,nsw,"6-months contract with a view to extend opportunity to get on large volume of data exposure to both data science and data engineering work my client is seeking for a data scientist who demonstrates sharp intellectual curiosity, data fluency, and does not mind rolling up their sleeves to carry out some engineering tasks ie, data preparation and setting up production pipelines. this will be a hands-on and end-to-end data science solutions delivery position for 6-months with a view to extend. you will get an opportunity to work on large, high profile data science projects. key responsibilities: develop deep subject matter expertise in data science to support a diverse range of projects manipulate and analyse complex, high-volume, high-dimensionality data from varying sources using a variety of tools and data analysis techniques collaborate with product owners, business analysts, qas, developers, and other stakeholders to integrate data discoveries and processes into operational capabilities be a data storyteller; deliver practical data insights in a compelling manner to senior leadership. articulate findings clearly and concisely including presentations, discussions and visualizations. understand different data sources, transform and combine them into reliable pipelines of clean data, setting up scalable production pipelines for ml deployment key requirements: data engineering experience (data pipelines, ml architecture) data science experience – building and deploying machine learning models programming language – python, r, sql – mandatory aws packages – highly regarded excellent communications – both verbal and written strong analytical and problem solving skillset apply now or call fei wong 02 9270 5292 for a confidential chat.",225000.0
713,research fellow - isense,monash university,clayton vic,,4.1,132.0,80191.5,year,vic,"the opportunity as the internet of things (iot) grows more prominent, and technology becomes ever more embedded in everyday life, the challenge becomes more pressing to ensure that this technological revolution is harnessed in ways that enhance liveability as much as possible. monash university, in collaboration with monash city council, aims to be a part of the solution, with isense oakleigh – an integrated smart city precinct underpinned by advanced sensoring technologies and a data communications network. this is an incredibly exciting project using existing technology in a new way. the network provides an iot connected platform to sense, collect and analyse relevant data to improve liveability for the community within the precinct. the sensors and its platform will collect and fuse different data on mobility including vehicles, bicycles and pedestrians, as well as improve utilisation of public spaces such as on-street and off-street parking. once captured, this data will be used in practical applications that will increase levels of service and efficiency, and ultimately greatly enhance the community. the research fellow will focus on researching and creating novel prototype software to support the project. this will include working with the chief investigators professor john grundy and professor hai vu; the solution architect; the technology providers; and mcc staff; to identify new council employee, business organisation and/or citizen digital solution requirements and designs, and help to identify and assess potential architectures and platforms that could be used for project solutions. these solution designs will: leverage the isense oakleigh smart city sensors, interactors, platform and data prototype solutions that fuse available smart city data to support traffic management, pedestrians, businesses and council operations use data analytics to find and understand patterns and amalgamate diverse sensor data; and present this information and knowledge obtained to end users in visual forms using mobile apps and/or web pages if you are enthusiastic at the prospect of taking on a ground-breaking challenge, we strongly encourage you to apply! the melbourne area for six consecutive years, melbourne has been rated the #1 city worldwide for quality of life (see economist & guardian), with excellent education, healthcare, infrastructure, low crime, and exceptional cuisine, cultural activities, and creative design. the regional area is renowned for its dramatic coastline, extensive parks, exotic wildlife, and the yarra valley wine region. this is a unique opportunity to join a leading “group of 8” university with top-rankings and like-minded, passionate academics. if you feel you have the drive and expertise to contribute to this cutting-edge group, then we encourage you to apply! at monash university, we are committed to being a child safe organisation. some positions at the university may require the incumbent to hold a valid working with children check. for instructions on how to apply, please refer to “how to apply for monash jobs”. enquiries professor john grundy, cyber security & systems, +61 3 9905 8854, john.grundy@monash.edu. position description  research fellow closing date tuesday 20 august 2019, 11:55pm aest #li-dni supporting a diverse workforce",80191.5
714,statistician / analyst,queensland government,brisbane qld,temporary,4.1,57.0,,,qld,"the responsibilities and duties of the role are likely to include a combination of the following: assist project teams as required and manage activities and ensure outputs satisfy office standards for integrity, accuracy and timeliness based on quality principles and methodologies. work as part of a team to apply statistical survey skills using r to manage processes including: frame and sample preparation cleaning and processing survey responses and other structured and unstructured data analysing and reporting statistics applications to remain current for 12 months.this work is licensed under a creative commons attribution 3.0 australia license.",
715,data technician,,sydney nsw,,,,,,nsw,"sydney services group is looking for data techs to join the team. the specialist will play an integral part in the business working on commercial projects.you will be required to have the following experience.installing data cabling including cat6, cat6a, cat7, fibre optics, single and multi-mode fibre.ability to use test equipment for both copper and fibreorganising and working in with sub-contractorsbenefitslong term employmentopportunity to grow and develop their skillsjob type: full-time",
716,customer service rep,pfd food services,whyalla sa,part-time,3.1,32.0,,,sa,"the role the purpose of this role is liaising with customers and processing customer orders whilst also demonstrating your great pc skills, \\;phone manner and organisational capabilities. key responsibilities perform various administrative tasks as outlined by job description, including filing/photocopying and banking process customer orders, enquires and following up on any issues maintain customer relationships communicate with various departments to ensure that a high level of customer service and record accuracy is maintained ensure all customer details are updated when necessary data entry key competencies, skills and qualifications excellent communication and organisational skills excellent interpersonal skills customer service focus with an excellent phone manner willingness to take on new tasks and be multi-skilled in various roles within the office great computer skills (including word, excel) good product knowledge capable of working under pressure in a team environment show initiative and a positive attitude previous telesales experience preferably in the food service industry minimum 1 year administration experience required proven ability to work unsupervised what pfd is offering the successful candidate we are offering competitive remuneration, superannuation and other staff benefits (such as discounts on staff purchases, discounted accommodation, health insurance and banking). should you be eligible, the company may also offer nationally recognised certificate iii training. please submit your application (cover letter and resume) via the apply now link below as part of our recruitment process, do you agree to undertake employment checks? these checks may include a medical assessment (including a drug and alcohol test), national police history check, working with children/vulnerable groups check, licence validation/demerit point check. please note: we do not accept unsolicited cv\'s from recruitment agencies / third parties and we will not be liable or responsible for any fees or costs associated with unsolicited cv\'s sent directly to line managers. pfd food services is an equal employment opportunity employer advertised: 16 aug 2019 cen. australia standard time applications close: 25 aug 2019 cen. australia standard time",
717,analyst - primary market research,iqvia,melbourne vic,,3.9,,,,vic,"iqvia™ is the leading human data science company focused on helping healthcare clients find unparalleled insights and better solutions for patients. formed through the merger of ims health and quintiles, iqvia offers a broad range of solutions that harness the power of healthcare data, domain expertise, transformative technology, and advanced analytics to drive healthcare forward. iqvia is currently looking for an analyst to join our primary market research team in our melbourne office. this role will see the successful candidate providing high quality, on-time input to client projects in the life sciences field. assignments typically require analysis and problem solving within an established framework. key responsibilities: under direct supervision, assists with the review and analysis of client requirements or problems and assists in the development of client solutions. assists in the development of detailed documentation and specifications. under close supervision, performs quantitative or qualitative analyses to assist in the identification of client issues and the development of client specific solutions. assists in the design and structure of presentations that are appropriate to the characteristics or needs of the audience. proactively develops a basic knowledge of consulting methodologies and the life sciences market through the delivery of consulting engagements and participation in formal and informal learning opportunities. engagement based responsibilities are assigned and closely managed by consultants, senior consultants, engagement managers or principals. requirements: bachelor’s degree. 1-3 years of related experience. works willingly and effectively with others in and across the organization to accomplish team goals. knowledge and understanding of the fundamental processes of business, their interaction, and the impact of external/internal influences on decision making, growth and decline. knowledge of consulting methods, tools and techniques, related to one’s functional area. knowledge of current events and developments within an industry and major competitors. knowledge and understanding of the marketplace. knowledge of professional/trade associations, key people and companies. effective time management skills. join us making a positive impact on human health takes insight, curiosity, and intellectual courage. it takes brave minds, pushing the boundaries to transform healthcare. regardless of your role, you will have the opportunity to play an important part in helping our clients drive healthcare forward and ultimately improve outcomes for patients. forge a career with greater purpose, make an impact, and never stop learning. job id: r1087089",
718,data analyst - unstructured data,,north sydney nsw,contract,,,,,nsw,"location: north sydney job type: contract specialisation: telecommunications reference: (jl)44750 finxl it professional services is an established, innovative australian company, providing technology enabled business solutions and consulting services across a number of industries. these include; government, telecommunications, commercial and finance. we currently have more than 1200 consultants assisting our clients across australia and are continuing to grow at a rapid pace. through the delivery of services and implementation of new systems, processes and technology, we assist our clients to gain competitive advantage and reach new heights. the role our client, a large north sydney based telecommunications organisation, is looking for a data analyst - unstructured data .  work on a migration project of unstructured content to a structured document management system work on large volumes of content data to highlight content types, size, duplicates, patterns produce recommendations what to do with data (migrate, dispose or archive) who you are you will have the following skills/experience  data analysis background with strong sql and bi experience experience with large amounts of unstructured data mandatory oracle or sql database knowledge experience with huge migration projects or been involved working on document management system proactive and independent way of working very good stakeholder management and communication skills what’s on offer this is a 6 months+ engagement with a high profile organisation with highly competitive remuneration on offer. what’s next if you would like to be considered, please send your application to julia leung on julial@finxl.com.au",
719,data operator,,sydney nsw,,,,,,nsw,"at world fuel services, our employees are the key to our global success.we are industry leaders due to the innumerable talents of our approximately 5000- strong professional team. our people thrive in an entrepreneurial and culturally-diverse environment, where innovative thinking, collaboration and efficient execution are highly valued. our high-performance culture is what allows us to drive sustained growth. stronger together, we promote an environment where individuals can thrive. when you click \'apply\', you will need to click on \'create account\'. by creating an account, you will be able to view your applications and their statuses. your password must contain 1 upper case letter, 1 number, and 1 special character. please note that by submitting an employment application you consent to world fuel services processing your information for this role and potentially for future employment opportunities, in accordance with applicable laws. to learn more about how we protect and/or process personal information, please visit the wfs privacy center at: https://www.wfscorp.com/en/privacy-center. assisting in the manual and automated entry of customer utility invoice data customer utilities invoice validation analyzing customer invoice data to identify erroneous customer invoices identifying invoicing issues and working with suppliers to resolve these issues generation and administration of customer invoice reporting liaising with market participants to ensure customer account activities (connections, re connections, retailer transfers, reminder’s and ad-hoc b2b activities) are actioned within a timely manner and in line with market regulatory requirements entry and administration of customer’s utility contracts maintaining customer data within both crm and invoice databases. liaising with customers via phone and email delivery of received invoices to customer’s via email creation of new customer sites within the invoice validation databases ability to meet kpi\'s and sla\'s requirements: sound data entry and analytical skills proficient in the use of the microsoft office suite of products (excel, outlook and access) preferred – energy retailer, network and market background ability to prioritize conflicting daily work tasks sound written and verbal communication skills ability to work both as a team and autonomously",
720,manager - data assurance,pwc,brisbane qld,,4.0,,,,qld,"line of service assurance industry/sector not applicable specialism assurance management level manager job description & summary with pwc, you’ll ignite a meaningful career while being supported by a flexible working culture, innovative learning and development opportunities and progressive policies and benefits, such as 18 weeks paid parental leave for mums, dads and foster carers (no minimum service!) what will you create? you’ll help australian businesses, not-for-profits and governments create value and improve the way they work. from digitising healthcare, to creating smarter cities and igniting our start-up industry, together we build trust in society and solve important problems. risk assurance bring this to life by helping clients to protect and strengthen every aspect of their business; from people to performance, systems to strategy and business plans to business resilience. as a manager in our data assurance team your impact will be seen by: delivering crucial business insights to clients through data analytics and data visualisation partnering with clients to enable them to understand the value in their data coaching and leading a team of consultant and senior consultants to deliver key outcomes to organisations helping businesses make sense of complex data sets through manipulation and use of data manipulation products i.e sql, acl, r, sas, alteryx about you you have a background in data analytics and are skilled in data visualisation, data cleansing and manipulation and hold an understanding and application of risk principles and internal audit. passionate about being at the forefront of change, you’re ready to help our risk assurance team transform how risk is perceived and capitalised on. you’re collaborative and enjoy working in an innovative environment. you’re a problem solver by nature and want to join a firm that values the kind of people who reimagine the possible for their clients and stakeholders. most importantly, you act with integrity and show care for the people you work with. life at pwc our culture and benefits are something we’re proud of, and also the reason we’ve been named linkedin’s #1 australian workplace. with pwc, you’ll belong to an inclusive community where differences are both embraced and the underlying driver in everything we create together. we empower you with the technology, coaching, flexibility and trust needed to make a meaningful difference, while supporting you in bringing your whole self to work each day. we’re committed to building and maintaining a diverse workforce because we know it’s only by working together that we can realise the potential of our people, clients and society around us. we’re living this commitment through initiatives including our reconciliation action plan to increase indigenous employment and employee-led diversity networks promoting cultural, disability, lgbti and gender equality. at our core we’re a people business, which means you’ll be supported not just in your professional development but your personal growth as well. andy maddison is the recruitment manager for the role. as the team experience high volumes of applications, we appreciate your patience to allow for a timely and fair process for all. #li-pwclmt education (if blank, degree and/or field of study not specified) degrees/field of study required: degrees/field of study preferred: certifications (if blank, certifications not specified) desired languages (if blank, desired languages not specified) travel requirements up to 40% available for work visa sponsorship? yes government clearance required? no job posting end date",
721,tax return preparer - junior,,brookvale nsw 2100,,,,,,nsw,"the companya full time role is required for a proficient person for a chartered accountancy practice based in brookvale on the northern beaches. we prepare tax returns, financial statements and provide tax consulting services.benefitsexposure to a broad client base.close to public transport and warringah mall.varied accounting role.the practice has been established for over 20 years.you will be working closely with the principal accountant.key responsibilitiespreparation of tax returnsdata entry on accounting software packages.document handling.working with clients.meeting deadlines.high quality of detail and accuracy.requirementsminimum hsc requirements.tertiary qualifications (tafe) preferred, will be highly regarded.clear and strong english communication skills is essential.good phone manner.confident in dealing with clients.enthusiasm and be eager to succeed.be willing to learn, train and be motivated.committed to self improvement.xero, quick books, myob and other accounting packages experience preferred but not essential as training will be provided.intermediate skills in excel and word.job type: full-timeexperience:tax preparation: 1 year (preferred)work eligibility:the candidate can work permanently with no restriction on hours (required)",
722,personal assistant,,maribyrnong vic 3032,part-time,,,,,vic,"we are a financial investment firm located in travancore, very close to public transport, cafes and supermarket. if the suitable candidate, your key duties will include but are not limited to email correspondence with clients, scanning/filing/archiving when necessary, maintaining client database, data entry, managing meetings. we need someone who can be an allrounder and help out in the best way possible. we are looking for someone who either has administrative experience, or has a high level of customer service skills. someone who is enthusiastic and outgoing with a \'can do\' attitude. you should also have good skills with programs such as microsoft suite, and x-mind. we are looking for someone to be available 3-5 days a week.job type: part-timeexperience:administration: 1 year (preferred)",
723,retail inventory analyst,duluxgroup,clayton vic,permanent,4.1,15.0,,,vic,"the opportunity working in the business’s “centre of excellence” for retailing, we have an exciting opportunity for a retail inventory analyst to effectively manage retail partner inventory requirements for the duluxgroup decorative retail facing sbus, ensuring we retain optimal inventory levels while also achieving joint sales targets and maintaining stock intensity standards. as some of our major customers are becoming more sophisticated in their use of scan data to drive an optimal inventory level, you will play a critical role managing and influencing the back end of that process and delivering on business sales and consumer shopping experience objectives. it’s an exciting role where no two days are the same, but on a typical day you might find yourself; managing competing priorities of various functions of customers’ business, overlay sbu strategy and objectives when assessing data and making recommendations making recommendations on space and inventory levels using large amounts of data through sap business objects developing relationships with customers’ replenishment team engaging retail channel managers to deliver strong outcomes while this is a full-time role, we understand the importance of work/life balance and are proud to support flexible working arrangements in terms of your working hours and location wherever possible. what you will bring and develop you will have prior experience in inventory demand management as well as a high-level understanding of sap and excel. experience using space management software will also be advantageous, as will experience within an fmcg or grocery related organisation. a natural communicator, you will be able to effectively influence ideas and change based on the strong commercial acumen that you will possess. paramount to the success of this role is the ability to demonstrate effective negotiation skills along with strong organizational skills to effectively manage deadlines and keep within expected timelines. a relevant tertiary qualification is highly desirable. to be successful in this role you will also demonstrate; a commercial focus and ability to make effective business decisions practical understanding of complex data manipulation, report design and generation ability to work with stakeholders (internal and external) of all levels demonstrable negotiation and influencing skills ability to manage your time, meet deadlines and remain calm under pressure our place our iconic household brands are synonymous with decoration and protection in the paint market, it is the number one choice for home owners, renovators and professional trade painters. part of asx top 100 listed duluxgroup, the dulux brand manufactures and markets products of the highest quality, which provide innovative product solutions that satisfy the needs of our customers today and into the future. this is your chance to join an iconic australian brand founded on ingenuity and innovation. to submit your application, please click “apply” now!",
724,support engineer,link group,melbourne vic 3000,permanent,3.1,15.0,,,vic,"(mel0045d) about us empirics are leaders in the integration and analysis of complex data sources to give you a consistent and continually refreshed single view that includes all your available data sets. importantly, we operationalise the insights from your data, giving your business actionable insights that are fully tailored to each stakeholder in your business. overview the support engineer provides technical support to the empirics team in the areas of data management, production support, change management, and system administration. role & responsibilities supports azure data factory with a focus on production loads for data integration. liaising with infrastructure to co-ordinate requests relating to network support (reverse proxy, iis server configuration) release management – manage release management processes including documentation and best practice application. monitor service desk tickets and respond according to slas manage and resolve first level support requests software installations and upgrade work with operations team to maintain documentation conduct research and recommend changes in services, products, protocols and standards to support the relevant software applications in place ensure apt security levels on all software is maintained technical research and troubleshooting problems on call availability key success indicators meeting service desk slas adherence to change management and release management processes meeting data load slas ideal candidate tertiary qualification in it or a related discipline minimum 2 years experience in sql server development experience developing etl processes strong analytical & problem solving skills; particularly investigation and resolution of data related problems excellent verbal and written communication skills a self-starting can-do attitude, coupled with a track record of meeting deadlines and going the extra mile to deliver proficiency in azure cloud solutions nice-to-have okta, network administration / security azure / aws tableau / power bi test automation at link group we attribute our success to our wonderfully diverse workforce serving our equally diverse clients and members. we are committed to equal employment opportunities and welcome all applications including but not limited to lgbtiq identifying individuals, all ethnic origins, all ages, all disabilities and gender diverse individuals. link group runs a successful and evolving national corporate social responsibility program. join us in helping those disadvantaged (physically or financially), needing assistance with education, addressing health concerns affecting our society, advancing our indigenous australians and migrants and securing our environmental future. together, we can make positive change locally and internationally. candidates must have the relevant work rights to be considered for an opportunity at link group. successful applicants will be required to complete background screening prior to commencement of employment. primary locationmelbourne - collins square collins square melbourne 3000",
